reward,training_time,waiting_time,avg_queue_length
-1343,2539.652245,15634,4.342777777777778
-1375,2545.61675,15076,4.187777777777778
-1397,2551.403985,15337,4.260277777777778
-1397,2557.267632,15756,4.376666666666667
-1353,2563.109607,15938,4.427222222222222
-1410,2569.007901,15199,4.2219444444444445
-1448,2574.846327,15829,4.396944444444444
-1424,2580.833638,16390,4.552777777777778
-1423,2586.676893,16136,4.482222222222222
-1273,2592.487736,16150,4.486111111111111
-1455,2598.362467,14161,3.933611111111111
-1431,2604.188748,16555,4.598611111111111
-1368,2610.017984,16233,4.509166666666666
-1373,2615.886937,15525,4.3125
-1294,2621.704955,15360,4.266666666666667
-1338,2627.672768,14491,4.025277777777778
-1326,2633.557666,15056,4.182222222222222
-1360,2639.402803,14835,4.120833333333334
-1421,2645.745897,15224,4.228888888888889
-1469,2652.786891,16021,4.450277777777778
-1321,2659.061904,16483,4.578611111111111
-1447,2664.915782,14870,4.1305555555555555
-1372,2670.778308,16238,4.510555555555555
-1296,2676.58018,15248,4.235555555555556
-1414,2682.340588,14530,4.036111111111111
-1311,2688.085257,15873,4.409166666666667
-1473,2693.93615,14878,4.132777777777778
-1470,2699.804455,16759,4.655277777777778
-1426,2706.19938,16705,4.6402777777777775
-1346,2712.141484,15902,4.417222222222223
-1281,2717.95141,15128,4.202222222222222
-1362,2723.785592,14353,3.9869444444444446
-1306,2729.522127,15250,4.236111111111111
-1273,2735.185824,14844,4.123333333333333
-1388,2741.159594,14364,3.99
-1455,2747.035553,15451,4.291944444444445
-1330,2752.902662,16473,4.575833333333334
-1366,2758.6119,15000,4.166666666666667
-1406,2764.294132,15468,4.296666666666667
-1366,2770.092494,16080,4.466666666666667
-1421,2775.839656,15372,4.27
-1227,2781.639344,16168,4.4911111111111115
-1383,2787.501176,13982,3.883888888888889
-1420,2793.252483,15481,4.300277777777778
-1388,2798.956445,15860,4.405555555555556
-1516,2804.760853,15531,4.314166666666667
-1365,2810.519102,17324,4.812222222222222
-1326,2816.195087,15276,4.243333333333333
-1417,2822.29625,14866,4.129444444444444
-1348,2828.982009,16181,4.494722222222222
-1404,2835.213001,15316,4.254444444444444
-1349,2841.151477,16124,4.478888888888889
-1372,2848.011359,15059,4.183055555555556
-1415,2854.344537,15371,4.269722222222223
-1394,2861.51826,16171,4.491944444444444
-1350,2867.70466,15538,4.316111111111111
-1409,2874.464661,15367,4.268611111111111
-1454,2880.470254,15906,4.418333333333333
-1373,2886.366331,16693,4.6369444444444445
-1445,2892.394195,15487,4.301944444444445
-1312,2898.610363,16383,4.550833333333333
-1382,2904.656748,14735,4.093055555555556
-1342,2911.112035,15415,4.281944444444444
-1401,2917.153083,15291,4.2475
-1309,2923.122848,15748,4.374444444444444
-1424,2929.11754,14688,4.08
-1400,2934.978064,16139,4.483055555555556
-1312,2940.720736,15764,4.378888888888889
-1365,2946.687376,14805,4.1125
-1439,2952.629734,15546,4.318333333333333
-1314,2959.879094,16158,4.488333333333333
-1377,2966.404164,14551,4.041944444444445
-1380,2972.977499,15474,4.298333333333333
-1384,2979.059227,15740,4.372222222222222
-1437,2984.973267,15637,4.3436111111111115
-1383,2990.887788,16382,4.5505555555555555
-1301,2996.919596,15569,4.324722222222222
-1459,3002.84058,14783,4.106388888888889
-1460,3008.894738,16321,4.533611111111111
-1320,3014.654372,16310,4.530555555555556
-1436,3020.523616,14941,4.150277777777778
-1553,3026.45454,16130,4.480555555555555
-1372,3032.518235,17364,4.823333333333333
-1261,3038.376943,15466,4.296111111111111
-1298,3044.436054,14094,3.915
-1347,3050.358642,14590,4.052777777777778
-1427,3056.488346,15076,4.187777777777778
-1355,3062.387783,16110,4.475
-1312,3068.617248,15191,4.219722222222222
-1366,3074.956648,14828,4.118888888888889
